suburb,postcode,property_type,bedrooms,bathrooms,car_spaces,land_size_m2,floor_area_m2,year_built,sale_date,distance_to_cbd_km,agent_description,sale_price_aud,source_url
Surry Hills,2010,Townhouse,3,3,1,,114.0,2014,2023-05-28,4.5,"Original condition, great potential",1294000,https://www.domain.com.au/example-surry-hills-001
Surry Hills,2010,Townhouse,3,3,2,,87.0,1988,2023-05-14,3.8,Architect designed with quality fixtures,1364000,https://www.domain.com.au/example-surry-hills-002
Surry Hills,2010,Unit,2,2,0,,60.0,1994,2024-09-19,3.8,"Distressed sale, priced to move",904000,https://www.domain.com.au/example-surry-hills-003
Surry Hills,2010,Unit,1,1,1,,121.0,2016,2024-07-09,3.4,Freshly painted and move-in ready,931000,https://www.domain.com.au/example-surry-hills-004
Surry Hills,2010,Unit,3,2,2,,137.0,2006,2023-10-28,3.2,Spacious living with natural light,1130000,https://www.domain.com.au/example-surry-hills-005
Surry Hills,2010,Unit,2,2,2,,74.0,1989,2024-02-17,3.4,Rare offering in tightly held street,998000,https://www.domain.com.au/example-surry-hills-006
Surry Hills,2010,Townhouse,2,1,2,,80.0,1984,2023-06-25,2.8,Rare offering in tightly held street,1131000,https://www.domain.com.au/example-surry-hills-007
Surry Hills,2010,Unit,4,3,2,,115.0,2001,2023-07-22,3.4,"North-facing aspect, excellent light",1050000,https://www.domain.com.au/example-surry-hills-008
Surry Hills,2010,Unit,1,1,1,,95.0,2002,2024-09-17,4.0,"Premium location, walk to transport",861000,https://www.domain.com.au/example-surry-hills-009
Surry Hills,2010,Unit,1,1,2,,58.0,1979,2023-09-12,2.9,Contemporary design throughout,764000,https://www.domain.com.au/example-surry-hills-010
Surry Hills,2010,House,1,1,2,,79.0,1963,2024-11-01,3.8,Spacious living with natural light,899000,https://www.domain.com.au/example-surry-hills-011
Surry Hills,2010,Townhouse,4,3,1,,124.0,1985,2023-08-23,2.5,Freshly painted and move-in ready,1250000,https://www.domain.com.au/example-surry-hills-012
Surry Hills,2010,Townhouse,3,3,2,,98.0,1970,2024-11-16,3.9,Freshly painted and move-in ready,1244000,https://www.domain.com.au/example-surry-hills-013
Surry Hills,2010,Unit,1,1,2,,86.0,1999,2024-12-02,2.7,"Original condition, great potential",704000,https://www.domain.com.au/example-surry-hills-014
Surry Hills,2010,House,2,1,1,,137.0,1976,2023-07-12,3.9,"North-facing aspect, excellent light",968000,https://www.domain.com.au/example-surry-hills-015
Surry Hills,2010,Unit,1,1,1,,94.0,2016,2024-05-29,3.1,Renovated kitchen and bathrooms,916000,https://www.domain.com.au/example-surry-hills-016
Surry Hills,2010,Unit,2,1,0,,116.0,2007,2024-04-29,3.8,Contemporary design throughout,1154000,https://www.domain.com.au/example-surry-hills-017
Surry Hills,2010,Unit,3,3,2,,59.0,1986,2023-05-12,3.2,"As-is, investor special",1076000,https://www.domain.com.au/example-surry-hills-018
Surry Hills,2010,Unit,1,1,2,,134.0,1970,2024-12-24,3.2,"Premium location, walk to transport",854000,https://www.domain.com.au/example-surry-hills-019
Surry Hills,2010,Unit,1,1,1,,122.0,1990,2023-02-17,3.5,"Original condition, great potential",1221000,https://www.domain.com.au/example-surry-hills-020
Surry Hills,2010,House,1,1,1,,78.0,1989,2024-11-28,3.5,Spacious living with natural light,963000,https://www.domain.com.au/example-surry-hills-021
Surry Hills,2010,Unit,2,1,0,,67.0,2016,2023-08-09,2.7,"Premium location, walk to transport",895000,https://www.domain.com.au/example-surry-hills-022
Surry Hills,2010,Unit,1,1,2,,120.0,2005,2023-08-23,4.3,"Original condition, great potential",677000,https://www.domain.com.au/example-surry-hills-023
Surry Hills,2010,Unit,1,1,1,,126.0,1983,2023-12-03,3.1,"Distressed sale, priced to move",929000,https://www.domain.com.au/example-surry-hills-024
Surry Hills,2010,Unit,3,2,2,,135.0,1976,2023-05-13,2.6,Freshly painted and move-in ready,801000,https://www.domain.com.au/example-surry-hills-025
Surry Hills,2010,House,1,1,0,,131.0,2007,2023-06-13,3.5,Architect designed with quality fixtures,1291000,https://www.domain.com.au/example-surry-hills-026
Surry Hills,2010,Townhouse,2,1,1,,63.0,1983,2024-06-22,3.0,"North-facing aspect, excellent light",860000,https://www.domain.com.au/example-surry-hills-027
Surry Hills,2010,Unit,1,1,0,,68.0,2012,2024-06-29,3.7,Freshly painted and move-in ready,712000,https://www.domain.com.au/example-surry-hills-028
Surry Hills,2010,Unit,4,3,0,,98.0,2021,2023-11-14,2.5,Freshly painted and move-in ready,1396000,https://www.domain.com.au/example-surry-hills-029
Surry Hills,2010,Unit,1,1,2,,98.0,1967,2024-11-09,3.7,Rare offering in tightly held street,629000,https://www.domain.com.au/example-surry-hills-030
Surry Hills,2010,Townhouse,1,1,0,,66.0,2006,2023-11-14,4.4,"Original condition, great potential",925000,https://www.domain.com.au/example-surry-hills-031
Surry Hills,2010,Unit,1,1,1,,136.0,2001,2024-01-16,4.3,Spacious living with natural light,801000,https://www.domain.com.au/example-surry-hills-032
Surry Hills,2010,Unit,1,1,2,,67.0,1966,2024-07-01,4.4,Contemporary design throughout,1005000,https://www.domain.com.au/example-surry-hills-033
Surry Hills,2010,House,3,2,1,,122.0,1989,2024-09-11,2.7,Stunning renovation with modern finishes,1199000,https://www.domain.com.au/example-surry-hills-034
Surry Hills,2010,Townhouse,2,2,1,,107.0,1993,2024-11-13,3.7,Architect designed with quality fixtures,1018000,https://www.domain.com.au/example-surry-hills-035
Surry Hills,2010,Unit,4,4,0,,129.0,2001,2023-07-20,3.0,Contemporary design throughout,997000,https://www.domain.com.au/example-surry-hills-036
Surry Hills,2010,Townhouse,4,3,2,,61.0,1966,2023-12-14,2.8,"Premium location, walk to transport",1484000,https://www.domain.com.au/example-surry-hills-037
Surry Hills,2010,Unit,4,4,2,,69.0,2018,2023-04-24,2.8,Spacious living with natural light,1030000,https://www.domain.com.au/example-surry-hills-038
Surry Hills,2010,Unit,3,3,0,,60.0,1971,2023-11-10,3.9,"Premium location, walk to transport",1003000,https://www.domain.com.au/example-surry-hills-039
Surry Hills,2010,Unit,4,3,2,,127.0,2015,2024-01-28,2.9,Stunning renovation with modern finishes,1574000,https://www.domain.com.au/example-surry-hills-040
Parramatta,2150,House,4,3,2,320.0,156.0,1990,2024-11-07,23.4,"As-is, investor special",1451000,https://www.domain.com.au/example-parramatta-001
Parramatta,2150,House,3,2,2,637.0,235.0,1974,2023-06-25,26.2,Solid brick construction,1412000,https://www.domain.com.au/example-parramatta-002
Parramatta,2150,Townhouse,4,3,2,514.0,177.0,1976,2024-12-07,24.9,"Distressed sale, priced to move",1293000,https://www.domain.com.au/example-parramatta-003
Parramatta,2150,Townhouse,2,2,0,491.0,163.0,1976,2024-03-17,24.5,Renovated kitchen and bathrooms,1160000,https://www.domain.com.au/example-parramatta-004
Parramatta,2150,House,3,3,0,419.0,242.0,2003,2024-05-05,24.9,Architect designed with quality fixtures,1461000,https://www.domain.com.au/example-parramatta-005
Parramatta,2150,House,5,4,1,622.0,180.0,2001,2024-07-14,24.2,"Quiet street, close to schools",1867000,https://www.domain.com.au/example-parramatta-006
Parramatta,2150,House,4,3,1,353.0,192.0,2012,2024-04-10,25.9,"Original condition, great potential",1477000,https://www.domain.com.au/example-parramatta-007
