suburb,postcode,property_type,bedrooms,bathrooms,car_spaces,land_size_m2,floor_area_m2,year_built,sale_date,distance_to_cbd_km,agent_description,sale_price_aud,source_url,property_age,bed_bath_ratio,price_per_m2,log_sale_price
Penrith,2750,House,4,4,1,690.0,180.0,2009,2023-01-08,57.5,"Quiet street, close to schools",1406000,https://www.domain.com.au/example-penrith-035,15,1.0,2037.6811594202898,14.156259351352746
Parramatta,2150,House,4,3,1,483.0,166.0,1984,2023-01-09,26.7,Spacious living with natural light,1447000,https://www.domain.com.au/example-parramatta-015,40,1.3333333333333333,2995.8592132505178,14.185003005613622
Penrith,2750,Townhouse,4,3,0,657.0,112.0,2001,2023-01-26,54.2,"North-facing aspect, excellent light",1224000,https://www.domain.com.au/example-penrith-030,23,1.3333333333333333,1863.013698630137,14.017634742054408
Parramatta,2150,House,3,2,0,414.0,226.0,2013,2023-02-01,27.0,"Original condition, great potential",1248000,https://www.domain.com.au/example-parramatta-016,11,1.5,3014.4927536231885,14.03705282791151
Penrith,2750,House,4,3,0,811.0,116.0,2021,2023-02-10,50.4,Charming character home,1567000,https://www.domain.com.au/example-penrith-004,3,1.3333333333333333,1932.1824907521577,14.264673521338159
Penrith,2750,House,3,3,0,837.0,158.0,1991,2023-02-14,56.3,"Premium location, walk to transport",1370000,https://www.domain.com.au/example-penrith-013,33,1.0,1636.7980884109916,14.130321297804308
Surry Hills,2010,Unit,1,1,1,,122.0,1990,2023-02-17,3.5,"Original condition, great potential",1221000,https://www.domain.com.au/example-surry-hills-020,34,1.0,,14.015180753092842
Parramatta,2150,House,2,1,1,545.0,108.0,2018,2023-02-21,23.2,"Quiet street, close to schools",1336000,https://www.domain.com.au/example-parramatta-021,6,2.0,2451.376146788991,14.105190633078728
Parramatta,2150,House,2,2,0,637.0,108.0,1973,2023-02-26,24.3,Spacious living with natural light,1282000,https://www.domain.com.au/example-parramatta-029,51,1.0,2012.5588697017267,14.063931916462753
Penrith,2750,House,2,1,1,702.0,277.0,2003,2023-02-28,56.5,Charming character home,1166000,https://www.domain.com.au/example-penrith-023,21,2.0,1660.968660968661,13.969089645892575
Parramatta,2150,House,5,5,1,363.0,122.0,1985,2023-03-05,24.8,Solid brick construction,1519000,https://www.domain.com.au/example-parramatta-012,39,1.0,4184.573002754821,14.233562781577909
Penrith,2750,House,2,2,0,838.0,263.0,2015,2023-03-18,57.9,Solid brick construction,1221000,https://www.domain.com.au/example-penrith-039,9,1.0,1457.0405727923628,14.015180753092842
Penrith,2750,House,5,5,2,486.0,196.0,2012,2023-03-30,50.0,Solid brick construction,1505000,https://www.domain.com.au/example-penrith-026,12,1.0,3096.707818930041,14.224303456165114
Parramatta,2150,House,4,3,0,546.0,126.0,1974,2023-04-05,25.3,"Premium location, walk to transport",1251000,https://www.domain.com.au/example-parramatta-009,50,1.3333333333333333,2291.2087912087914,14.039453789449048
Parramatta,2150,House,4,3,2,497.0,190.0,2009,2023-04-12,23.5,Architect designed with quality fixtures,1413000,https://www.domain.com.au/example-parramatta-010,15,1.3333333333333333,2843.0583501006035,14.161225661666665
Parramatta,2150,Townhouse,2,1,2,612.0,172.0,2015,2023-04-13,26.9,Charming character home,1305000,https://www.domain.com.au/example-parramatta-013,9,2.0,2132.3529411764707,14.081713598738931
Parramatta,2150,House,3,3,1,479.0,146.0,2015,2023-04-15,23.0,"Premium location, walk to transport",1494000,https://www.domain.com.au/example-parramatta-039,9,1.0,3118.997912317328,14.2169676446749
Surry Hills,2010,Unit,4,4,2,,69.0,2018,2023-04-24,2.8,Spacious living with natural light,1030000,https://www.domain.com.au/example-surry-hills-038,6,1.0,,13.845069360205818
Surry Hills,2010,Unit,3,3,2,,59.0,1986,2023-05-12,3.2,"As-is, investor special",1076000,https://www.domain.com.au/example-surry-hills-018,38,1.0,,13.888761019703868
Surry Hills,2010,Unit,3,2,2,,135.0,1976,2023-05-13,2.6,Freshly painted and move-in ready,801000,https://www.domain.com.au/example-surry-hills-025,48,1.5,,13.593616226050496
Surry Hills,2010,Townhouse,3,3,2,,87.0,1988,2023-05-14,3.8,Architect designed with quality fixtures,1364000,https://www.domain.com.au/example-surry-hills-002,36,1.0,,14.125932117385544
Penrith,2750,House,3,2,0,732.0,252.0,1996,2023-05-19,54.8,Stunning renovation with modern finishes,1348000,https://www.domain.com.au/example-penrith-028,28,1.5,1841.5300546448088,14.11413257045439
